"WHO_Code","ADM0NAME","DateReport1","epiWeek","NewCases","NewDeaths","TotalCases","TotalDeaths"
"ALB","ALBANIA","2020-03-09",11,2.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-10",11,0.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-11",11,0.00,0.00,2.00,0.00
"ALB","ALBANIA","2020-03-12",11,1.00,1.00,3.00,1.00
"ALB","ALBANIA","2020-03-13",11,0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-14",11,0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-15",11,0.00,0.00,3.00,1.00
"ALB","ALBANIA","2020-03-16",12,2.00,0.00,5.00,1.00
"ALB","ALBANIA","2020-03-17",12,9.00,0.00,14.00,1.00
"ALB","ALBANIA","2020-03-18",12,4.00,0.00,18.00,1.00
"ALB","ALBANIA","2020-03-19",12,3.00,0.00,21.00,1.00
"ALB","ALBANIA","2020-03-20",12,11.00,0.00,32.00,1.00
"ALB","ALBANIA","2020-03-21",12,19.00,0.00,51.00,1.00
"ALB","ALBANIA","2020-03-22",12,0.00,0.00,51.00,1.00
"ALB","ALBANIA","2020-03-23",13,15.00,2.00,66.00,3.00
"ALB","ALBANIA","2020-03-24",13,19.00,1.00,85.00,4.00
"ALB","ALBANIA","2020-03-25",13,23.00,0.00,108.00,4.00
"ALB","ALBANIA","2020-03-26",13,28.00,1.00,136.00,5.00
"ALB","ALBANIA","2020-03-27",13,12.00,2.00,148.00,7.00
"ALB","ALBANIA","2020-03-28",13,11.00,1.00,159.00,8.00
"ALB","ALBANIA","2020-03-29",13,15.00,1.00,174.00,9.00
"ALB","ALBANIA","2020-03-30",14,11.00,1.00,185.00,10.00
"ALB","ALBANIA","2020-03-31",14,20.00,2.00,205.00,12.00
"ALB","ALBANIA","2020-04-01",14,34.00,2.00,239.00,14.00
"ALB","ALBANIA","2020-04-02",14,0.00,0.00,239.00,14.00
"ALB","ALBANIA","2020-04-03",14,0.00,1.00,239.00,15.00
"ALB","ALBANIA","2020-04-04",14,56.00,1.00,295.00,16.00
"ALB","ALBANIA","2020-04-05",14,0.00,1.00,295.00,17.00
"ALB","ALBANIA","2020-04-06",15,44.00,3.00,339.00,20.00
"ALB","ALBANIA","2020-04-07",15,0.00,1.00,339.00,21.00
"ALB","ALBANIA","2020-04-08",15,23.00,0.00,362.00,21.00
"ALB","ALBANIA","2020-04-09",15,9.00,0.00,371.00,21.00
"ALB","ALBANIA","2020-04-10",15,7.00,1.00,378.00,22.00
"ALB","ALBANIA","2020-04-11",15,0.00,0.00,378.00,22.00
"ALB","ALBANIA","2020-04-12",15,30.00,0.00,408.00,22.00
"ALB","ALBANIA","2020-04-13",16,0.00,0.00,408.00,22.00
"ALB","ALBANIA","2020-04-14",16,29.00,0.00,437.00,22.00
"ALB","ALBANIA","2020-04-15",16,0.00,1.00,437.00,23.00
"ALB","ALBANIA","2020-04-16",16,19.00,1.00,456.00,24.00
"ALB","ALBANIA","2020-04-17",16,24.00,1.00,480.00,25.00
"ALB","ALBANIA","2020-04-18",16,30.00,0.00,510.00,25.00
"ALB","ALBANIA","2020-04-19",16,0.00,0.00,510.00,25.00
"ALB","ALBANIA","2020-04-20",17,14.00,0.00,524.00,25.00
"ALB","ALBANIA","2020-04-21",17,47.00,0.00,571.00,25.00
"ALB","ALBANIA","2020-04-22",17,25.00,0.00,596.00,25.00
"ALB","ALBANIA","2020-04-23",17,0.00,1.00,596.00,26.00
"ALB","ALBANIA","2020-04-24",17,44.00,0.00,640.00,26.00
"ALB","ALBANIA","2020-04-25",17,0.00,0.00,640.00,26.00
"ALB","ALBANIA","2020-04-26",17,34.00,0.00,674.00,26.00
"ALB","ALBANIA","2020-04-27",18,14.00,1.00,688.00,27.00
"ALB","ALBANIA","2020-04-28",18,10.00,0.00,698.00,27.00
"ALB","ALBANIA","2020-04-29",18,30.00,2.00,728.00,29.00
"ALB","ALBANIA","2020-04-30",18,7.00,1.00,735.00,30.00
"ALB","ALBANIA","2020-05-01",18,0.00,0.00,735.00,30.00
"ALB","ALBANIA","2020-05-02",18,16.00,0.00,751.00,30.00
"ALB","ALBANIA","2020-05-03",18,6.00,0.00,757.00,30.00
"ALB","ALBANIA","2020-05-04",19,8.00,0.00,765.00,30.00
"ALB","ALBANIA","2020-05-05",19,17.00,0.00,782.00,30.00
"ALB","ALBANIA","2020-05-06",19,12.00,0.00,794.00,30.00
"ALB","ALBANIA","2020-05-07",19,0.00,0.00,794.00,30.00
"ALB","ALBANIA","2020-05-08",19,18.00,0.00,812.00,30.00
"ALB","ALBANIA","2020-05-09",19,6.00,0.00,818.00,30.00
"ALB","ALBANIA","2020-05-10",19,12.00,0.00,830.00,30.00
"ALB","ALBANIA","2020-05-11",20,0.00,0.00,830.00,30.00
"ALB","ALBANIA","2020-05-12",20,4.00,0.00,834.00,30.00
"ALB","ALBANIA","2020-05-13",20,4.00,0.00,838.00,30.00
"ALB","ALBANIA","2020-05-14",20,4.00,0.00,842.00,30.00
"ALB","ALBANIA","2020-05-15",20,18.00,0.00,860.00,30.00
"ALB","ALBANIA","2020-05-16",20,35.00,0.00,895.00,30.00
"ALB","ALBANIA","2020-05-17",20,13.00,0.00,908.00,30.00
"ALB","ALBANIA","2020-05-18",21,2.00,0.00,910.00,30.00
"ALB","ALBANIA","2020-05-19",21,0.00,0.00,910.00,30.00
"ALB","ALBANIA","2020-05-20",21,16.00,0.00,926.00,30.00
"ALB","ALBANIA","2020-05-21",21,5.00,0.00,931.00,30.00
"ALB","ALBANIA","2020-05-22",21,0.00,0.00,931.00,30.00
"ALB","ALBANIA","2020-05-23",21,12.00,0.00,943.00,30.00
"ALB","ALBANIA","2020-05-24",21,8.00,1.00,951.00,31.00
"ALB","ALBANIA","2020-05-25",22,15.00,0.00,966.00,31.00
"ALB","ALBANIA","2020-05-26",22,25.00,1.00,991.00,32.00
"ALB","ALBANIA","2020-05-27",22,21.00,0.00,1012.00,32.00
"ALB","ALBANIA","2020-05-28",22,26.00,0.00,1038.00,32.00
"ALB","ALBANIA","2020-05-29",22,23.00,0.00,1061.00,32.00
"ALB","ALBANIA","2020-05-30",22,23.00,0.00,1084.00,32.00
"ALB","ALBANIA","2020-05-31",22,14.00,0.00,1098.00,32.00
"ALB","ALBANIA","2020-06-01",23,7.00,0.00,1105.00,32.00
"ALB","ALBANIA","2020-06-02",23,36.00,0.00,1141.00,32.00
"ALB","ALBANIA","2020-06-03",23,20.00,1.00,1161.00,33.00
"ALB","ALBANIA","2020-06-04",23,36.00,0.00,1197.00,33.00
"ALB","ALBANIA","2020-06-05",23,15.00,0.00,1212.00,33.00
"ALB","ALBANIA","2020-06-06",23,20.00,1.00,1232.00,34.00
"ALB","ALBANIA","2020-06-07",23,14.00,0.00,1246.00,34.00
"ALB","ALBANIA","2020-06-08",24,17.00,0.00,1263.00,34.00
"ALB","ALBANIA","2020-06-09",24,36.00,0.00,1299.00,34.00
"ALB","ALBANIA","2020-06-10",24,42.00,0.00,1341.00,34.00
"ALB","ALBANIA","2020-06-11",24,44.00,0.00,1385.00,34.00
"ALB","ALBANIA","2020-06-12",24,31.00,2.00,1416.00,36.00
"ALB","ALBANIA","2020-06-13",24,48.00,0.00,1464.00,36.00
"ALB","ALBANIA","2020-06-14",24,57.00,0.00,1521.00,36.00
"ALB","ALBANIA","2020-06-15",25,69.00,0.00,1590.00,36.00
"ALB","ALBANIA","2020-06-16",25,82.00,1.00,1672.00,37.00
"ALB","ALBANIA","2020-06-17",25,50.00,1.00,1722.00,38.00
"ALB","ALBANIA","2020-06-18",25,66.00,1.00,1788.00,39.00
"ALB","ALBANIA","2020-06-19",25,50.00,3.00,1838.00,42.00
"ALB","ALBANIA","2020-06-20",25,0.00,0.00,1838.00,42.00
"ALB","ALBANIA","2020-06-21",25,53.00,1.00,1891.00,43.00
"ALB","ALBANIA","2020-06-22",26,104.00,1.00,1995.00,44.00
"ALB","ALBANIA","2020-06-23",26,52.00,1.00,2047.00,45.00
"ALB","ALBANIA","2020-06-24",26,67.00,2.00,2114.00,47.00
"ALB","ALBANIA","2020-06-25",26,78.00,1.00,2192.00,48.00
"ALB","ALBANIA","2020-06-26",26,77.00,3.00,2269.00,51.00
"ALB","ALBANIA","2020-06-27",26,61.00,2.00,2330.00,53.00
"ALB","ALBANIA","2020-06-28",26,72.00,2.00,2402.00,55.00
"ALB","ALBANIA","2020-06-29",27,64.00,3.00,2466.00,58.00
"ALB","ALBANIA","2020-06-30",27,69.00,4.00,2535.00,62.00
"ALB","ALBANIA","2020-07-01",27,45.00,3.00,2580.00,65.00
"ALB","ALBANIA","2020-07-02",27,82.00,4.00,2662.00,69.00
"ALB","ALBANIA","2020-07-03",27,90.00,3.00,2752.00,72.00
"ALB","ALBANIA","2020-07-04",27,67.00,2.00,2819.00,74.00
"ALB","ALBANIA","2020-07-05",27,74.00,2.00,2893.00,76.00
"ALB","ALBANIA","2020-07-06",28,71.00,3.00,2964.00,79.00
"ALB","ALBANIA","2020-07-07",28,74.00,2.00,3038.00,81.00
"ALB","ALBANIA","2020-07-08",28,68.00,2.00,3106.00,83.00
"ALB","ALBANIA","2020-07-09",28,82.00,0.00,3188.00,83.00
"ALB","ALBANIA","2020-07-10",28,90.00,2.00,3278.00,85.00
"ALB","ALBANIA","2020-07-11",28,93.00,4.00,3371.00,89.00
"ALB","ALBANIA","2020-07-12",28,83.00,4.00,3454.00,93.00
"ALB","ALBANIA","2020-07-13",29,117.00,2.00,3571.00,95.00
"ALB","ALBANIA","2020-07-14",29,96.00,2.00,3667.00,97.00
"ALB","ALBANIA","2020-07-15",29,85.00,4.00,3752.00,101.00
"ALB","ALBANIA","2020-07-16",29,99.00,3.00,3851.00,104.00
"ALB","ALBANIA","2020-07-17",29,55.00,3.00,3906.00,107.00
